Accident_Index,Date,Speed_Limit,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Light_Conditions,Road_Surface_Conditions,Casualties,Severity,District,Latitude,Longitude,Vehicle_Type
ACC2021001861,2022-12-24,40,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Manchester,53.493964248352896,-2.229381519865843,Car
ACC2021001862,2022-10-24,30,Dual carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Sheffield,53.337014371410724,-1.452501957365607,Car
ACC2021001863,2022-07-03,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.51929087083644,-1.9278142289941522,Bike
ACC2021001864,2021-12-18,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.23314318626854,-5.007072483208196,Car
ACC2021001865,2021-11-08,20,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.25614381451973,-5.02362094385994,Car
ACC2021001866,2021-02-28,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.23383921286432,-5.030944813255734,Car
ACC2021001867,2022-10-05,60,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.8202844774381,-1.6112334263696926,Car
ACC2021001868,2022-12-15,30,Dual carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.50932778028946,-1.906641292446457,Car
ACC2021001869,2021-02-04,40,Dual carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.81085813499199,-1.5564895233538394,Car
ACC2021001870,2022-03-21,30,Single carriageway,Rural,Raining no high winds,Day,Dry,1,Slight,Cornwall,50.29262536802596,-5.017347419673904,Car
ACC2021001871,2021-04-03,30,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.84353998654377,-1.5108246522812014,Bike
ACC2021001872,2021-07-26,60,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.51810105382875,-1.8943929812049451,Car
ACC2021001873,2021-12-19,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.481178078706236,-1.9046758129536372,Car
ACC2021001874,2021-11-28,30,Roundabout,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.463798063523214,-1.937235372199481,Car
ACC2021001875,2022-12-26,30,Roundabout,Rural,Raining no high winds,Day,Dry,1,Slight,Cornwall,50.28127756874634,-5.05179626938725,Car
ACC2021001876,2021-06-08,40,Single carriageway,Urban,Fine no high winds,Dark,Dry,2,Slight,Birmingham,52.491695831217974,-1.8694330290411456,Bike
ACC2021001877,2021-01-24,20,Roundabout,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Sheffield,53.38237131056498,-1.481071535027721,Van
ACC2021001878,2022-02-08,40,Dual carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.79502054358352,-1.566879489776657,Van
ACC2021001879,2022-05-31,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Manchester,53.511372362868286,-2.282966543617241,Car
ACC2021001880,2021-12-30,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.49944864195177,-1.8870620608366682,Car
ACC2021001881,2022-01-17,60,One way street,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.760013280841875,-1.5546902576375108,Car
ACC2021001882,2022-06-16,30,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Sheffield,53.40009083531376,-1.4758471171150298,Car
ACC2021001883,2021-06-01,70,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Sheffield,53.35802904044374,-1.4685039761244874,Car
ACC2021001884,2022-07-16,60,Single carriageway,Rural,Raining no high winds,Day,Wet or damp,1,Slight,Leeds,53.75766700765988,-1.5659399769577318,Car
ACC2021001885,2022-11-20,50,Single carriageway,Rural,Raining + high winds,Day,Wet or damp,1,Slight,Cheshire East,53.194868333342214,-2.3093852736502245,Car
ACC2021001886,2022-08-31,20,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.518529329819486,-1.8774267544900904,Car
ACC2021001887,2022-09-09,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.31444121960865,-5.019412539390348,Car
ACC2021001888,2022-02-24,60,Single carriageway,Rural,Raining + high winds,Dark,Wet or damp,1,Slight,Birmingham,52.459875918636826,-1.896395155533533,Van
ACC2021001889,2021-09-07,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.81280775454224,-1.57099819313243,Van
ACC2021001890,2021-04-27,30,Roundabout,Urban,Fine no high winds,Day,Frost or ice,1,Slight,Sheffield,53.39527924753448,-1.4577869162993338,Car
ACC2021001891,2022-05-27,30,Slip road,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.494970431310506,-1.89296766929816,Van
ACC2021001892,2022-08-01,70,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.456309658923885,-1.8781814079593115,Car
ACC2021001893,2021-12-01,60,Roundabout,Rural,Fine no high winds,Day,Dry,1,Slight,Leeds,53.803111508154025,-1.5713737220798263,Bike
ACC2021001894,2022-02-22,60,Dual carriageway,Rural,Fog or mist,Day,Dry,1,Slight,Leeds,53.802561557848186,-1.559841973998383,Van
ACC2021001895,2021-10-22,60,Single carriageway,Urban,Fine no high winds,Day,Dry,2,Slight,Sheffield,53.39597972364429,-1.4550013920196119,Car
ACC2021001896,2022-01-06,30,Roundabout,Urban,Raining no high winds,Day,Frost or ice,1,Serious,Birmingham,52.47040872104217,-1.8918681446756114,Car
ACC2021001897,2021-07-05,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Manchester,53.46647452204181,-2.1992814161362353,Car
ACC2021001898,2021-09-03,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Bradford,53.786097109105796,-1.7505962400259045,Car
ACC2021001899,2022-09-29,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Serious,Cornwall,50.31744786079627,-5.1265420684367715,Car
ACC2021001900,2021-09-25,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.820125898550984,-1.5337110473897917,Bike
ACC2021001901,2022-10-05,60,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,County Durham,54.75770858991952,-1.6145906315787981,Car
ACC2021001902,2021-08-25,70,Dual carriageway,Urban,Fine no high winds,Day,Dry,2,Slight,Leeds,53.78744221741122,-1.5572065526112053,Car
ACC2021001903,2022-06-14,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,County Durham,54.786105714477806,-1.6145189001888642,Car
ACC2021001904,2022-07-06,40,Slip road,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Sheffield,53.35206549461126,-1.4842985681282088,Car
ACC2021001905,2021-01-21,30,Single carriageway,Urban,Fine no high winds,Day,Dry,2,Slight,Bradford,53.856707763249794,-1.7706815616536584,Van
ACC2021001906,2022-06-04,30,Roundabout,Rural,Fine no high winds,Day,Dry,1,Slight,Cheshire East,53.20499918260585,-2.2930182220537425,Car
ACC2021001907,2021-04-10,40,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.75194090889307,-1.5752620666843276,Car
ACC2021001908,2022-04-23,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.42669890507262,-1.8931555837923,Car
ACC2021001909,2022-08-22,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.78345546408362,-1.5092396296613704,Car
ACC2021001910,2021-10-25,50,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Cheshire East,53.23511510648338,-2.3187129762332392,Car
ACC2021001911,2022-06-10,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.4561313609376,-1.8982466798389248,Car
ACC2021001912,2021-11-30,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,County Durham,54.803701145705446,-1.6019605705675055,Car
ACC2021001913,2021-01-02,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Serious,Liverpool,53.43440276560376,-3.025908641549302,Car
ACC2021001914,2022-01-10,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.79421788342795,-1.5274120703591225,Car
ACC2021001915,2021-10-20,60,One way street,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.50465318930545,-1.9165606985053143,Bike
ACC2021001916,2022-07-07,60,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,2,Slight,Leeds,53.78321319994965,-1.5515107567897768,Car
ACC2021001917,2021-11-14,30,Single carriageway,Rural,Fine no high winds,Day,Frost or ice,1,Slight,Leeds,53.85328788312249,-1.4979274703561636,Car
ACC2021001918,2022-05-17,60,Dual carriageway,Urban,Fine no high winds,Day,Dry,2,Slight,Manchester,53.51504193540162,-2.216153441449357,Bus
ACC2021001919,2022-01-16,30,Single carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Leeds,53.760134380961894,-1.5124765814840457,Car
ACC2021001920,2022-09-15,30,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Kirklees,53.613472818654074,-1.8143239449357778,Bike
ACC2021001921,2021-01-14,50,Single carriageway,Urban,Raining no high winds,Dark,Wet or damp,1,Slight,Birmingham,52.49632910667978,-1.8901288354201455,Car
ACC2021001922,2022-05-19,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.64523394446107,-1.8227284508229402,Car
ACC2021001923,2021-08-19,30,Single carriageway,Rural,Raining no high winds,Day,Dry,1,Slight,Birmingham,52.47482188909008,-1.929011543202545,Car
ACC2021001924,2021-03-25,30,Single carriageway,Urban,Fine no high winds,Day,Dry,2,Serious,Birmingham,52.52035693846514,-1.9487702007474337,Car
ACC2021001925,2021-05-10,30,Single carriageway,Rural,Raining no high winds,Dark,Wet or damp,1,Slight,Birmingham,52.503828057103306,-1.9021069207691543,Car
ACC2021001926,2021-05-25,30,Dual carriageway,Rural,Raining no high winds,Day,Wet or damp,1,Slight,Leeds,53.75992906496707,-1.5323342891284883,Car
ACC2021001927,2021-01-28,60,Dual carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Bradford,53.81786838278083,-1.7679662149770536,Van
ACC2021001928,2021-03-07,30,Dual carriageway,Urban,Fine no high winds,Day,Frost or ice,1,Slight,Sheffield,53.423320165575745,-1.4912033816517642,Car
ACC2021001929,2021-06-12,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Leeds,53.839261170155574,-1.513746225264733,Car
ACC2021001930,2021-08-17,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.43432400388486,-1.820141648064255,Car
ACC2021001931,2021-09-18,70,Single carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Kirklees,53.652102916242775,-1.770006502962205,Car
ACC2021001932,2022-03-25,50,Single carriageway,Rural,Fine no high winds,Dark,Dry,2,Slight,Leeds,53.76157343193036,-1.4941099007808873,Bike
ACC2021001933,2022-02-28,50,Single carriageway,Urban,Raining + high winds,Day,Dry,1,Serious,Leeds,53.79862718194634,-1.5667613523194723,Van
ACC2021001934,2022-04-05,20,Roundabout,Rural,Fine no high winds,Day,Snow,1,Slight,Cornwall,50.26910954368543,-5.058516982761386,Car
ACC2021001935,2022-11-07,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Sheffield,53.397089790096636,-1.501947062858971,Car
ACC2021001936,2021-10-28,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.52294529251126,-1.848453097125695,Car
ACC2021001937,2021-10-30,40,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.81173458878604,-1.5307737354711353,Car
ACC2021001938,2021-10-14,70,Dual carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Kirklees,53.60957384920009,-1.8187427479504175,Car
ACC2021001939,2022-01-30,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Liverpool,53.40688535491918,-3.0203657588661494,Bike
ACC2021001940,2021-01-10,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.17442667783147,-5.0365324126959905,Car
ACC2021001941,2022-12-08,20,Roundabout,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.53496327186343,-1.874599746559106,Bike
ACC2021001942,2022-09-22,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.4078925473398,-2.9568456594434265,Bus
ACC2021001943,2021-09-27,30,Single carriageway,Urban,Fine no high winds,Day,Dry,2,Slight,County Durham,54.787274154030854,-1.5974988516285231,Car
ACC2021001944,2022-08-15,60,Dual carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Bradford,53.766491236614854,-1.7909897805765658,Car
ACC2021001945,2022-08-28,30,Roundabout,Rural,Fine no high winds,Day,Dry,1,Slight,Leeds,53.78885847686248,-1.5262621660230062,Car
ACC2021001946,2021-12-27,40,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Manchester,53.49253832074738,-2.2000038729638014,Car
ACC2021001947,2021-09-14,60,Single carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Leeds,53.79553053639096,-1.5715598788998206,Car
ACC2021001948,2021-05-13,70,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.83204899171114,-1.564519023270927,Bike
ACC2021001949,2021-10-03,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Cheshire East,53.24013728274768,-2.2991785244838536,Car
ACC2021001950,2022-11-14,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Bradford,53.859845491474644,-1.773515865895721,Car
ACC2021001951,2022-05-28,20,Slip road,Rural,Raining no high winds,Dark,Dry,2,Slight,Manchester,53.51596116608037,-2.2476394257705,Car
ACC2021001952,2021-11-09,20,Single carriageway,Rural,Fine no high winds,Dark,Wet or damp,1,Slight,Bradford,53.83316438937026,-1.7699400746765273,Car
ACC2021001953,2022-07-30,40,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.50521144027751,-1.8137073187128008,Car
ACC2021001954,2021-10-11,20,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.447458108525154,-1.8612367563273018,Car
ACC2021001955,2021-05-01,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,Leeds,53.83812166124646,-1.562293749364587,Car
ACC2021001956,2021-04-17,20,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,2,Slight,Liverpool,53.455176186439566,-3.0269332356650143,Bike
ACC2021001957,2022-11-18,40,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.433692426194625,-2.980412224673879,Car
ACC2021001958,2021-07-23,30,Dual carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,County Durham,54.80314435063197,-1.5770843740609501,Car
ACC2021001959,2021-06-14,30,Single carriageway,Urban,Fine no high winds,Day,Dry,2,Slight,Bradford,53.825727670385675,-1.7271160034363033,Van
ACC2021001960,2021-11-01,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.430305797174114,-1.9028951427018301,Car
ACC2021001961,2022-05-12,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.48831092425184,-1.8977260096125672,Car
ACC2021001962,2022-09-24,40,Single carriageway,Rural,Raining + high winds,Day,Wet or damp,1,Slight,Birmingham,52.5022145687403,-1.946949000516148,Bus
ACC2021001963,2022-07-10,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Liverpool,53.39978194822938,-2.9846887257258197,Car
ACC2021001964,2021-06-05,60,Dual carriageway,Urban,Raining no high winds,Day,Wet or damp,1,Slight,Birmingham,52.492506861400074,-1.922799112955175,Car
ACC2021001965,2022-01-02,30,Roundabout,Urban,Fine no high winds,Day,Dry,1,Slight,County Durham,54.837446718260985,-1.6003508888145768,Bike
ACC2021001966,2022-12-20,20,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.414490859645284,-3.0062581667557793,Car
ACC2021001967,2022-09-12,20,Dual carriageway,Rural,Fine no high winds,Dark,Wet or damp,1,Slight,Birmingham,52.51374694551841,-1.84714200120662,Car
ACC2021001968,2021-09-08,30,Single carriageway,Rural,Raining no high winds,Day,Dry,1,Slight,Cheshire East,53.23990203949581,-2.3005305061731605,Car
ACC2021001969,2021-11-30,50,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Cheshire East,53.21426920437734,-2.3368833641084494,Van
ACC2021001970,2022-10-04,30,Single carriageway,Rural,Fine no high winds,Day,Frost or ice,1,Slight,Bradford,53.726550664241984,-1.783551007540719,Other
ACC2021001971,2022-05-26,40,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.237110821020856,-5.039304652815101,Bus
ACC2021001972,2021-10-20,30,Single carriageway,Rural,Raining no high winds,Day,Dry,1,Slight,Bradford,53.758151027871136,-1.7808407057191604,Car
ACC2021001973,2021-01-20,70,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.831944220645624,-1.5795830356287932,Bus
ACC2021001974,2021-10-09,50,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Bradford,53.76259443971604,-1.7060682946040884,Car
ACC2021001975,2021-01-01,40,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,Manchester,53.53828979663152,-2.246727273160028,Car
ACC2021001976,2021-04-29,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.51098988135662,-1.871626518882419,Other
ACC2021001977,2021-02-04,70,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.50581420268844,-1.9033539754680615,Bus
ACC2021001978,2021-07-17,70,Dual carriageway,Urban,Fine no high winds,Dark,Dry,1,Serious,Cornwall,50.27082244012489,-5.043903198087148,Car
ACC2021001979,2022-04-30,30,Single carriageway,Urban,Raining no high winds,Day,Dry,2,Slight,Leeds,53.815223322032445,-1.54512760766536,Bike
ACC2021001980,2021-02-28,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,Kirklees,53.65514983821898,-1.8002695263061457,Car
ACC2021001981,2021-06-10,30,Single carriageway,Urban,Raining no high winds,Dark,Dry,1,Slight,Sheffield,53.361890879792384,-1.4428597372025371,Car
ACC2021001982,2022-11-22,30,Roundabout,Rural,Raining no high winds,Day,Dry,1,Slight,Cornwall,50.26069912660566,-5.06885843385558,Car
ACC2021001983,2021-07-25,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Cheshire East,53.30017022654086,-2.250981777573674,Car
ACC2021001984,2021-01-12,30,Dual carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.45010269445657,-1.8977097369628406,Bike
ACC2021001985,2022-05-05,60,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Serious,Leeds,53.84460850343087,-1.574508027416643,Car
ACC2021001986,2021-10-03,30,Roundabout,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Manchester,53.45651350538905,-2.2376824000766424,Car
ACC2021001987,2022-11-24,60,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Bradford,53.81599192021447,-1.7893641348155782,Car
ACC2021001988,2021-08-30,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Manchester,53.506574325174334,-2.1957728106066154,Car
ACC2021001989,2021-08-04,50,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.620914008240476,-1.8002210046461065,Van
ACC2021001990,2021-09-08,30,Single carriageway,Urban,Fine no high winds,Day,Flood,1,Serious,Leeds,53.82084348628599,-1.5667730964872486,Car
ACC2021001991,2021-05-06,40,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Bradford,53.73021941393036,-1.7644545797497948,Car
ACC2021001992,2021-08-05,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Serious,Liverpool,53.39948834921189,-3.0218041821970956,Car
ACC2021001993,2021-11-02,30,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Leeds,53.82934012596588,-1.5551775974302828,Car
ACC2021001994,2021-07-04,60,Single carriageway,Rural,Fine no high winds,Day,Dry,4,Serious,Cornwall,50.29609812052249,-5.11316946934141,Bike
ACC2021001995,2021-02-08,30,Roundabout,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.41522771749099,-1.8674124996821964,Car
ACC2021001996,2021-08-11,30,One way street,Urban,Fine no high winds,Day,Dry,1,Slight,Sheffield,53.33504256755347,-1.506650870240652,Bus
ACC2021001997,2021-07-03,30,Single carriageway,Rural,Fine no high winds,Dark,Wet or damp,1,Slight,Birmingham,52.453977817403775,-1.8356543743223284,Car
ACC2021001998,2022-05-10,60,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.2838295462598,-5.10633284647384,Car
ACC2021001999,2022-03-03,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Manchester,53.469808382597435,-2.245596942213674,Car
ACC2021002000,2021-06-27,40,Dual carriageway,Rural,Fine no high winds,Day,Dry,1,Serious,Cheshire East,53.18971936804501,-2.327473446988722,Car
ACC2021002001,2022-03-04,30,Dual carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Serious,County Durham,54.74787954088363,-1.5278521120505997,Car
ACC2021002002,2021-10-21,30,Roundabout,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.48115118250106,-1.939099866139173,Car
ACC2021002003,2021-05-31,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.26791450480265,-5.038190248687516,Car
ACC2021002004,2022-01-19,30,Dual carriageway,Rural,Raining no high winds,Day,Dry,1,Slight,Sheffield,53.3586123009698,-1.454607365231672,Car
ACC2021002005,2022-09-30,40,Dual carriageway,Urban,Fine no high winds,Day,Dry,1,Serious,Birmingham,52.487569606899626,-1.9073630368411882,Car
ACC2021002006,2021-11-04,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.47735914061628,-1.8936799152553405,Car
ACC2021002007,2021-12-02,30,Dual carriageway,Urban,Raining + high winds,Dark,Wet or damp,1,Slight,Birmingham,52.3950101990342,-1.8954888200449111,Van
ACC2021002008,2022-01-10,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.828740683957164,-1.559854682895172,Car
ACC2021002009,2021-01-08,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Cheshire East,53.25888261997376,-2.356255781580316,Car
ACC2021002010,2021-12-07,40,One way street,Urban,Fine no high winds,Day,Dry,1,Serious,Cornwall,50.214604289153876,-5.095259674315607,Agricultural
ACC2021002011,2021-05-09,40,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Liverpool,53.413956182854584,-2.979420716036955,Car
ACC2021002012,2022-10-31,30,Dual carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.44745370546611,-1.8858503810137555,Car
ACC2021002013,2021-12-18,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Birmingham,52.47734547090026,-1.9008746966841514,Car
ACC2021002014,2021-12-24,20,Dual carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Serious,County Durham,54.75983026519801,-1.5686483983022037,Car
ACC2021002015,2022-06-01,60,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.19638145510165,-5.110597700460631,Car
ACC2021002016,2022-05-10,60,Roundabout,Urban,Fine no high winds,Day,Dry,1,Slight,Cornwall,50.25668726448846,-5.03008123688656,Car
ACC2021002017,2021-03-27,30,Dual carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Cornwall,50.27051274988033,-5.025798782111584,Car
ACC2021002018,2021-06-24,30,Single carriageway,Urban,Raining no high winds,Day,Dry,1,Slight,Leeds,53.81799849013764,-1.620205145099252,Car
ACC2021002019,2021-07-12,20,Single carriageway,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Cheshire East,53.19985827841676,-2.257081469212926,Car
ACC2021002020,2021-11-07,70,Dual carriageway,Rural,Fine no high winds,Day,Dry,1,Serious,Cornwall,50.24878919751231,-5.009395399548466,Car
ACC2021002021,2021-04-29,60,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.574887511371756,-1.820480426622054,Car
ACC2021002022,2021-08-06,30,Single carriageway,Rural,Raining no high winds,Day,Wet or damp,1,Serious,Liverpool,53.40288414555787,-2.9719483754713383,Car
ACC2021002023,2022-03-03,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Sheffield,53.33807272724446,-1.471516454637664,Bike
ACC2021002024,2022-02-18,30,Roundabout,Urban,Fine no high winds,Day,Dry,2,Slight,Bradford,53.793662828726866,-1.736422320613705,Car
ACC2021002025,2021-04-24,30,Single carriageway,Urban,Fog or mist,Day,Dry,1,Slight,Liverpool,53.40424588802777,-3.0239340598286497,Car
ACC2021002026,2021-05-25,50,Roundabout,Urban,Fine no high winds,Day,Dry,1,Slight,Cheshire East,53.229219307198655,-2.272900300622738,Car
ACC2021002027,2022-06-22,30,Dual carriageway,Rural,Fine no high winds,Day,Dry,2,Slight,Birmingham,52.46084099758077,-1.8920266327006119,Car
ACC2021002028,2022-10-10,60,Single carriageway,Rural,Raining no high winds,Day,Dry,1,Slight,Leeds,53.7720732001259,-1.5082068873995151,Car
ACC2021002029,2021-10-30,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Serious,County Durham,54.755680458945044,-1.5427742816138843,Car
ACC2021002030,2022-08-11,30,Roundabout,Rural,Fine no high winds,Day,Dry,1,Slight,Birmingham,52.50111921764973,-1.950110420812207,Car
ACC2021002031,2021-12-11,40,Dual carriageway,Urban,Raining + high winds,Day,Wet or damp,1,Slight,Bradford,53.81358667753913,-1.7792746126864005,Car
ACC2021002032,2021-01-01,30,Single carriageway,Urban,Fine no high winds,Day,Snow,1,Slight,County Durham,54.773991135760255,-1.603272632493808,Bike
ACC2021002033,2021-05-27,60,One way street,Urban,Fine no high winds,Dark,Wet or damp,1,Slight,Birmingham,52.571384157936286,-1.8790806671356035,Car
ACC2021002034,2021-10-14,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.82979371739833,-1.560381073906136,Car
ACC2021002035,2022-10-16,30,Single carriageway,Urban,Raining no high winds,Day,Dry,2,Slight,Cheshire East,53.2247613995863,-2.3745274202133704,Car
ACC2021002036,2021-02-22,40,Dual carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.81025011215519,-1.5888154016299045,Car
ACC2021002037,2021-10-31,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Bradford,53.777408782847296,-1.7811796955516304,Bus
ACC2021002038,2021-03-10,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.212438086781596,-5.065307206442131,Car
ACC2021002039,2021-12-27,70,Dual carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Cheshire East,53.25337707471179,-2.3587111597041805,Bike
ACC2021002040,2022-08-25,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Leeds,53.81320015974736,-1.5495261441100565,Car
ACC2021002041,2021-08-08,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.79751607422017,-1.6114680174195606,Car
